"gene","p_value"
"ENSG00000224307",0.010700186937127
"ENSG00000096433",0.0107466069078397
"ENSG00000261594",0.0107622616526346
"ENSG00000127399",0.0107688160313404
"ENSG00000134824",0.010786566520607
"ENSG00000236333",0.0108502327332661
"ENSG00000131981",0.010868783079793
"ENSG00000101210",0.0109509932506832
"ENSG00000247746",0.0110012855458366
"ENSG00000118473",0.0110433179582901
"ENSG00000134250",0.011063811196237
"ENSG00000008513",0.0111132609038613
"ENSG00000163814",0.0112237595737599
"ENSG00000181007",0.0112439520868391
"ENSG00000110042",0.0113770142970948
"ENSG00000141506",0.0115353824257294
"ENSG00000136810",0.0115420097740873
"ENSG00000112182",0.0116715364543569
"ENSG00000123384",0.0116961217630304
"ENSG00000268964",0.0117023940765726
"ENSG00000081041",0.0119802963087432
"ENSG00000100979",0.0121560576234837
"ENSG00000223802",0.0122495011987571
"ENSG00000135094",0.0123590717245882
"ENSG00000261150",0.0123613865240088
"ENSG00000136522",0.0124678924405569
"ENSG00000161243",0.0124836290882287
"ENSG00000174989",0.01250029593395
"ENSG00000169562",0.0125193475824073
"ENSG00000256771",0.0125509711875429
"ENSG00000170954",0.0126198942893972
"ENSG00000165949",0.0126284873948843
"ENSG00000165443",0.0127485970709523
"ENSG00000189056",0.0127535473556044
"ENSG00000286540",0.0128253913444366
"ENSG00000099256",0.0128856025687805
"ENSG00000102226",0.0129146763867271
"ENSG00000151388",0.0129187537502091
"ENSG00000055163",0.0129526517891493
"ENSG00000074181",0.0129832768713876
"ENSG00000142619",0.0130494518046896
"ENSG00000177283",0.0130676921818028
"ENSG00000224093",0.0131800023788971
"ENSG00000145555",0.013193608160949
"ENSG00000187372",0.0132298145161501
"ENSG00000188483",0.0132845849083411
"ENSG00000249669",0.0133288679511433
"ENSG00000089250",0.0133717143385699
"ENSG00000137642",0.0134052369153653
"ENSG00000240225",0.0134237298206185
"ENSG00000278259",0.0134993106351324
"ENSG00000180440",0.0135072281217916
"ENSG00000135047",0.013531778527277
"ENSG00000187553",0.0135410092319555
"ENSG00000188559",0.0135831498253908
"ENSG00000136888",0.0137241447699735
"ENSG00000171316",0.0137521089172037
"ENSG00000258727",0.0137945771856233
"ENSG00000144712",0.0138359792287266
"ENSG00000169418",0.0140284048057677
"ENSG00000174231",0.0140782181786093
"ENSG00000111696",0.0142494246501881
"ENSG00000157657",0.0144074702542603
"ENSG00000160111",0.0144096901251123
"ENSG00000253738",0.0144421490444723
"ENSG00000124151",0.0144555337172071
"ENSG00000115884",0.0144752974398431
"ENSG00000100345",0.0144987604237885
"ENSG00000116667",0.0146302874098435
"ENSG00000273274",0.0146820213229479
"ENSG00000196581",0.0149475023695857
"ENSG00000004139",0.0149529040680491
"ENSG00000218336",0.0151409372361654
"ENSG00000159915",0.0151974693374128
"ENSG00000104177",0.0152085026465518
