"gene","p_value","effect_size"
"ENSG00000240225",0.0134237298206185,-1.65550154658007
"ENSG00000278259",0.0134993106351324,-0.609127833707318
"ENSG00000180440",0.0135072281217916,-2.01150065254013
"ENSG00000135047",0.013531778527277,0.539664720408601
"ENSG00000187553",0.0135410092319555,-4.16305024359402
"ENSG00000188559",0.0135831498253908,-0.458688411935668
"ENSG00000136888",0.0137241447699735,0.606379047450927
"ENSG00000171316",0.0137521089172037,-0.590278918806266
"ENSG00000258727",0.0137945771856233,1.52068417882359
"ENSG00000144712",0.0138359792287266,-1.23907889137545
"ENSG00000169418",0.0140284048057677,-1.79601226348965
"ENSG00000174231",0.0140782181786093,-0.518830077543623
"ENSG00000111696",0.0142494246501881,-0.99548701805375
"ENSG00000157657",0.0144074702542603,-0.723701504197957
"ENSG00000160111",0.0144096901251123,-1.67638703037542
"ENSG00000253738",0.0144421490444723,0.5536251137373
"ENSG00000124151",0.0144555337172071,-0.668514069382184
"ENSG00000115884",0.0144752974398431,-1.0734909804745
"ENSG00000100345",0.0144987604237885,-0.446036898329084
"ENSG00000116667",0.0146302874098435,-1.66837522196345
"ENSG00000273274",0.0146820213229479,-1.81430567622056
"ENSG00000196581",0.0149475023695857,-0.778022996678918
"ENSG00000004139",0.0149529040680491,-0.903073338057094
"ENSG00000218336",0.0151409372361654,-0.918987965922055
"ENSG00000159915",0.0151974693374128,-1.69410331717987
"ENSG00000104177",0.0152085026465518,-1.79367503115868
"ENSG00000119650",0.0152135667323399,0.658866907896182
"ENSG00000255690",0.015240460336851,-3.09381412265196
"ENSG00000142949",0.0152790068879062,-0.646559900217951
"ENSG00000286707",0.0153864843505854,-1.98345413259875
"ENSG00000247317",0.0155141212070519,-1.89556753311238
"ENSG00000126822",0.0155198445782662,-0.707556418685216
"ENSG00000135547",0.015526864397029,-2.40374857261996
"ENSG00000138336",0.0155500894611347,-1.0637727685567
"ENSG00000139946",0.0155695421624558,-1.87758781062278
"ENSG00000076108",0.015570227770416,-0.390418352980597
"ENSG00000088881",0.0156539203126473,-1.14656837347595
"ENSG00000101825",0.0156802498055291,-1.03225127490704
"ENSG00000148341",0.0158427249428352,0.585884539407178
"ENSG00000143499",0.015876503004792,-1.03097843624673
"ENSG00000185272",0.0158964555634225,0.793601492423419
"ENSG00000129038",0.0159281888261842,-1.0480900506977
"ENSG00000180914",0.0160506667727987,-1.25579973042229
"ENSG00000282936",0.016063558630033,-0.831919863041083
"ENSG00000149212",0.0161047337690492,0.496683319874522
"ENSG00000174307",0.0161219922007287,-1.54298130506283
