"intercept","min_phred","min_length","effect_size_sd","aligner_salmon","trim_poly_g_X1","trim_poly_x_X1","norm_method_none","norm_method_RLE","norm_method_TMM","norm_method_TMMwsp","norm_method_upperquartile","min_phred_x_min_length","min_phred_x_aligner_salmon","min_phred_x_trim_poly_g_X1","min_phred_x_trim_poly_x_X1","min_phred_x_norm_method_none","min_phred_x_norm_method_RLE","min_phred_x_norm_method_TMM","min_phred_x_norm_method_TMMwsp","min_phred_x_norm_method_upperquartile","min_length_x_aligner_salmon","min_length_x_trim_poly_g_X1","min_length_x_trim_poly_x_X1","min_length_x_norm_method_none","min_length_x_norm_method_RLE","min_length_x_norm_method_TMM","min_length_x_norm_method_TMMwsp","min_length_x_norm_method_upperquartile","aligner_salmon_x_trim_poly_g_X1","aligner_salmon_x_trim_poly_x_X1","aligner_salmon_x_norm_method_none","aligner_salmon_x_norm_method_RLE","aligner_salmon_x_norm_method_TMM","aligner_salmon_x_norm_method_TMMwsp","aligner_salmon_x_norm_method_upperquartile","trim_poly_g_X1_x_trim_poly_x_X1","trim_poly_g_X1_x_norm_method_none","trim_poly_g_X1_x_norm_method_RLE","trim_poly_g_X1_x_norm_method_TMM","trim_poly_g_X1_x_norm_method_TMMwsp","trim_poly_g_X1_x_norm_method_upperquartile","trim_poly_x_X1_x_norm_method_none","trim_poly_x_X1_x_norm_method_RLE","trim_poly_x_X1_x_norm_method_TMM","trim_poly_x_X1_x_norm_method_TMMwsp","trim_poly_x_X1_x_norm_method_upperquartile"
1,25,48,0.990777109009689,1,0,1,0,0,1,0,0,1200,25,0,25,0,0,25,0,0,48,0,48,0,0,48,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,23,33,0.986744977546543,1,1,1,0,0,0,0,1,759,23,23,23,0,0,0,0,23,33,33,33,0,0,0,0,33,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
1,22,45,0.97843401793859,0,1,1,1,0,0,0,0,990,0,22,22,22,0,0,0,0,0,45,45,45,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,23,48,0.979311498422687,0,1,1,1,0,0,0,0,1104,0,23,23,23,0,0,0,0,0,48,48,48,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,22,35,0.977301914179914,0,1,1,1,0,0,0,0,770,0,22,22,22,0,0,0,0,0,35,35,35,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,27,35,0.975189619054908,0,0,0,0,0,1,0,0,945,0,0,0,0,0,27,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,43,0.97787670854441,0,0,1,1,0,0,0,0,1161,0,0,27,27,0,0,0,0,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,24,48,0.979311498422681,0,0,1,1,0,0,0,0,1152,0,0,24,24,0,0,0,0,0,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,25,44,0.972600134158627,0,1,1,0,0,0,0,1,1100,0,25,25,0,0,0,0,25,0,44,44,0,0,0,0,44,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,26,45,0.990218757386627,1,0,0,0,0,0,1,0,1170,26,0,0,0,0,0,26,0,45,0,0,0,0,0,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,21,46,0.976267462405398,0,1,0,0,0,0,1,0,966,0,21,0,0,0,0,21,0,0,46,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,24,33,0.986638548501096,1,0,1,0,0,0,0,1,792,24,0,24,0,0,0,0,24,33,0,33,0,0,0,0,33,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,27,34,0.971587115038804,0,0,1,0,0,0,0,1,918,0,0,27,0,0,0,0,27,0,0,34,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,21,30,0.992069657403542,1,1,0,1,0,0,0,0,630,21,21,0,21,0,0,0,0,30,30,0,30,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,22,50,0.991898959972276,1,0,1,0,0,0,1,0,1100,22,0,22,0,0,0,22,0,50,0,50,0,0,0,50,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,28,45,0.992313295345231,1,0,1,1,0,0,0,0,1260,28,0,28,28,0,0,0,0,45,0,45,45,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
