"intercept","min_phred","min_length","count_sd","aligner_kallisto","aligner_salmon","aligner_STAR","trim_poly_g_X1","trim_poly_x_X1","min_phred_x_min_length","min_phred_x_aligner_kallisto","min_phred_x_aligner_salmon","min_phred_x_aligner_STAR","min_phred_x_trim_poly_g_X1","min_phred_x_trim_poly_x_X1","min_length_x_aligner_kallisto","min_length_x_aligner_salmon","min_length_x_aligner_STAR","min_length_x_trim_poly_g_X1","min_length_x_trim_poly_x_X1","aligner_kallisto_x_trim_poly_g_X1","aligner_kallisto_x_trim_poly_x_X1","aligner_salmon_x_trim_poly_g_X1","aligner_salmon_x_trim_poly_x_X1","aligner_STAR_x_trim_poly_g_X1","aligner_STAR_x_trim_poly_x_X1","trim_poly_g_X1_x_trim_poly_x_X1"
1,29,33,3401.73126458009,0,0,1,0,1,957,0,0,29,0,29,0,0,33,0,33,0,0,0,0,0,1,0
1,29,37,3400.43155010658,0,0,1,1,0,1073,0,0,29,29,0,0,0,37,37,0,0,0,0,0,1,0,0
1,29,38,3399.95157448125,0,0,1,1,0,1102,0,0,29,29,0,0,0,38,38,0,0,0,0,0,1,0,0
1,29,40,3399.57262858887,0,0,1,0,0,1160,0,0,29,0,0,0,0,40,0,0,0,0,0,0,0,0,0
1,29,44,3395.70195551956,0,0,1,0,0,1276,0,0,29,0,0,0,0,44,0,0,0,0,0,0,0,0,0
1,29,47,3392.11536243809,0,0,1,1,0,1363,0,0,29,29,0,0,0,47,47,0,0,0,0,0,1,0,0
1,29,50,3392.41928232996,0,0,1,0,0,1450,0,0,29,0,0,0,0,50,0,0,0,0,0,0,0,0,0
1,29,50,3392.11536243809,0,0,1,1,0,1450,0,0,29,29,0,0,0,50,50,0,0,0,0,0,1,0,0
1,30,31,3401.85826616714,0,0,1,0,0,930,0,0,30,0,0,0,0,31,0,0,0,0,0,0,0,0,0
1,30,37,3400.49489319646,0,0,1,0,1,1110,0,0,30,0,30,0,0,37,0,37,0,0,0,0,0,1,0
1,30,37,3400.43155010658,0,0,1,1,0,1110,0,0,30,30,0,0,0,37,37,0,0,0,0,0,1,0,0
1,30,39,3399.66476686742,0,0,1,0,0,1170,0,0,30,0,0,0,0,39,0,0,0,0,0,0,0,0,0
1,30,41,3397.74734704848,0,0,1,0,0,1230,0,0,30,0,0,0,0,41,0,0,0,0,0,0,0,0,0
1,30,41,3395.27071523796,0,0,1,1,1,1230,0,0,30,30,30,0,0,41,41,41,0,0,0,0,1,1,1
1,30,43,3396.14779582139,0,0,1,1,0,1290,0,0,30,30,0,0,0,43,43,0,0,0,0,0,1,0,0
