gene_id,counts,sample,quality,length,geneFlag,xFlag,jobFlag
ENSG00000223883,0,SRR31476644,29,47,1,1,19023435
ENSG00000237227,0,SRR31476644,29,47,1,1,19023435
ENSG00000275350,0,SRR31476644,29,47,1,1,19023435
ENSG00000116652,23,SRR31476644,29,47,1,1,19023435
ENSG00000123080,83,SRR31476644,29,47,1,1,19023435
ENSG00000285778,0,SRR31476644,29,47,1,1,19023435
ENSG00000233407,0,SRR31476644,29,47,1,1,19023435
ENSG00000225675,1,SRR31476644,29,47,1,1,19023435
ENSG00000237622,0,SRR31476644,29,47,1,1,19023435
ENSG00000162598,0,SRR31476644,29,47,1,1,19023435
ENSG00000280317,0,SRR31476644,29,47,1,1,19023435
ENSG00000162415,1,SRR31476644,29,47,1,1,19023435
ENSG00000162600,285,SRR31476644,29,47,1,1,19023435
ENSG00000116704,338,SRR31476644,29,47,1,1,19023435
ENSG00000157193,543,SRR31476644,29,47,1,1,19023435
ENSG00000116205,241,SRR31476644,29,47,1,1,19023435
ENSG00000198841,213,SRR31476644,29,47,1,1,19023435
ENSG00000116212,1030,SRR31476644,29,47,1,1,19023435
ENSG00000234204,0,SRR31476644,29,47,1,1,19023435
ENSG00000233099,0,SRR31476644,29,47,1,1,19023435
ENSG00000233994,475,SRR31476644,29,47,1,1,19023435
ENSG00000233973,0,SRR31476644,29,47,1,1,19023435
ENSG00000132854,23,SRR31476644,29,47,1,1,19023435
ENSG00000227556,0,SRR31476644,29,47,1,1,19023435
ENSG00000162607,3767,SRR31476644,29,47,1,1,19023435
ENSG00000285954,0,SRR31476644,29,47,1,1,19023435
ENSG00000233333,0,SRR31476644,29,47,1,1,19023435
ENSG00000154027,73,SRR31476644,29,47,1,1,19023435
ENSG00000234108,1,SRR31476644,29,47,1,1,19023435
ENSG00000232676,141,SRR31476644,29,47,1,1,19023435
ENSG00000225167,0,SRR31476644,29,47,1,1,19023435
ENSG00000213579,148,SRR31476644,29,47,1,1,19023435
ENSG00000137960,5,SRR31476644,29,47,1,1,19023435
ENSG00000237852,0,SRR31476644,29,47,1,1,19023435
ENSG00000116745,0,SRR31476644,29,47,1,1,19023435
ENSG00000132855,0,SRR31476644,29,47,1,1,19023435
ENSG00000285407,4,SRR31476644,29,47,1,1,19023435
ENSG00000270549,0,SRR31476644,29,47,1,1,19023435
ENSG00000237163,0,SRR31476644,29,47,1,1,19023435
ENSG00000229636,3,SRR31476644,29,47,1,1,19023435
ENSG00000116675,563,SRR31476644,29,47,1,1,19023435
ENSG00000162433,1383,SRR31476644,29,47,1,1,19023435
ENSG00000213625,2554,SRR31476644,29,47,1,1,19023435
ENSG00000227207,376,SRR31476644,29,47,1,1,19023435
ENSG00000227016,0,SRR31476644,29,47,1,1,19023435
ENSG00000233664,104,SRR31476644,29,47,1,1,19023435
ENSG00000158966,762,SRR31476644,29,47,1,1,19023435
ENSG00000213703,0,SRR31476644,29,47,1,1,19023435
ENSG00000203965,181,SRR31476644,29,47,1,1,19023435
ENSG00000223479,0,SRR31476644,29,47,1,1,19023435
ENSG00000233674,0,SRR31476644,29,47,1,1,19023435
ENSG00000153898,3,SRR31476644,29,47,1,1,19023435
ENSG00000117069,3,SRR31476644,29,47,1,1,19023435
ENSG00000125703,476,SRR31476644,29,47,1,1,19023435
ENSG00000285041,0,SRR31476644,29,47,1,1,19023435
ENSG00000285808,0,SRR31476644,29,47,1,1,19023435
ENSG00000229440,0,SRR31476644,29,47,1,1,19023435
ENSG00000234144,0,SRR31476644,29,47,1,1,19023435
ENSG00000277670,0,SRR31476644,29,47,1,1,19023435
ENSG00000227466,0,SRR31476644,29,47,1,1,19023435
ENSG00000230498,0,SRR31476644,29,47,1,1,19023435
ENSG00000285782,0,SRR31476644,29,47,1,1,19023435
ENSG00000162618,0,SRR31476644,29,47,1,1,19023435
ENSG00000224493,0,SRR31476644,29,47,1,1,19023435
ENSG00000131233,8,SRR31476644,29,47,1,1,19023435
ENSG00000272371,0,SRR31476644,29,47,1,1,19023435
ENSG00000287647,0,SRR31476644,29,47,1,1,19023435
ENSG00000229225,0,SRR31476644,29,47,1,1,19023435
ENSG00000230863,95,SRR31476644,29,47,1,1,19023435
ENSG00000225598,1,SRR31476644,29,47,1,1,19023435
ENSG00000286455,0,SRR31476644,29,47,1,1,19023435
ENSG00000225087,0,SRR31476644,29,47,1,1,19023435
ENSG00000280378,1,SRR31476644,29,47,1,1,19023435
ENSG00000230053,0,SRR31476644,29,47,1,1,19023435
ENSG00000137941,83,SRR31476644,29,47,1,1,19023435
ENSG00000224326,0,SRR31476644,29,47,1,1,19023435
ENSG00000286548,2,SRR31476644,29,47,1,1,19023435
ENSG00000066135,1864,SRR31476644,29,47,1,1,19023435
ENSG00000272094,0,SRR31476644,29,47,1,1,19023435
ENSG00000228853,0,SRR31476644,29,47,1,1,19023435
ENSG00000232453,4,SRR31476644,29,47,1,1,19023435
ENSG00000260386,0,SRR31476644,29,47,1,1,19023435
ENSG00000284895,1,SRR31476644,29,47,1,1,19023435
ENSG00000117174,1532,SRR31476644,29,47,1,1,19023435
ENSG00000237413,0,SRR31476644,29,47,1,1,19023435
ENSG00000184313,8,SRR31476644,29,47,1,1,19023435
ENSG00000284645,0,SRR31476644,29,47,1,1,19023435
ENSG00000225446,0,SRR31476644,29,47,1,1,19023435
ENSG00000288543,0,SRR31476644,29,47,1,1,19023435
ENSG00000122420,0,SRR31476644,29,47,1,1,19023435
ENSG00000284240,3,SRR31476644,29,47,1,1,19023435
ENSG00000236290,0,SRR31476644,29,47,1,1,19023435
ENSG00000143013,2705,SRR31476644,29,47,1,1,19023435
ENSG00000226084,17657,SRR31476644,29,47,1,1,19023435
ENSG00000134748,1231,SRR31476644,29,47,1,1,19023435
ENSG00000142892,1687,SRR31476644,29,47,1,1,19023435
ENSG00000219102,196,SRR31476644,29,47,1,1,19023435
ENSG00000287743,0,SRR31476644,29,47,1,1,19023435
ENSG00000229332,0,SRR31476644,29,47,1,1,19023435
ENSG00000227937,0,SRR31476644,29,47,1,1,19023435
ENSG00000229752,474,SRR31476644,29,47,1,1,19023435
ENSG00000237505,11,SRR31476644,29,47,1,1,19023435
ENSG00000285462,0,SRR31476644,29,47,1,1,19023435
ENSG00000233216,0,SRR31476644,29,47,1,1,19023435
ENSG00000197273,0,SRR31476644,29,47,1,1,19023435
ENSG00000226804,0,SRR31476644,29,47,1,1,19023435
ENSG00000230728,0,SRR31476644,29,47,1,1,19023435
ENSG00000232846,0,SRR31476644,29,47,1,1,19023435
ENSG00000230787,166,SRR31476644,29,47,1,1,19023435
ENSG00000116641,1429,SRR31476644,29,47,1,1,19023435
ENSG00000237453,2,SRR31476644,29,47,1,1,19023435
