gene_id,SRR31476642,SRR31476643,SRR31476644,SRR31476645,SRR31476646,SRR31476647,SRR31476648,SRR31476649,SRR31476650
ENSG00000010310,50,28,32,30,47,31,40,60,38
ENSG00000010318,27,33,38,41,26,21,26,38,35
ENSG00000010319,16,74,42,68,12,9,9,24,17
ENSG00000010322,722,968,852,1094,750,595,679,877,772
ENSG00000010327,86,237,194,261,69,72,78,67,72
ENSG00000010361,169,438,405,591,177,171,239,179,194
ENSG00000010379,4,8,6,3,0,3,4,0,2
ENSG00000010404,854,876,760,971,878,775,852,959,876
ENSG00000010438,2,3,6,2,3,1,2,1,4
ENSG00000010539,231,236,205,231,308,239,281,258,243
ENSG00000010610,0,12,8,12,1,1,1,0,0
ENSG00000010626,114,123,92,170,138,130,156,144,153
ENSG00000010671,3,4,2,3,9,8,4,0,2
ENSG00000010704,493,360,340,438,354,404,389,582,568
ENSG00000010803,674,396,448,450,250,250,247,690,640
ENSG00000010810,210,201,203,245,150,137,165,179,179
ENSG00000010818,538,479,502,454,779,638,537,578,531
ENSG00000010932,30,62,66,71,74,37,84,54,61
ENSG00000011007,1470,975,1036,1159,976,919,985,1410,1313
ENSG00000011009,1523,1980,1710,2421,1818,1524,2122,1879,1754
ENSG00000011021,195,244,231,241,257,220,272,236,163
ENSG00000011028,179,46,36,69,304,243,276,248,219
ENSG00000011052,10384,8396,7316,9045,13527,10366,13048,12911,13841
ENSG00000011083,0,0,0,0,0,0,0,0,0
ENSG00000011105,643,753,660,883,768,712,799,744,752
ENSG00000011114,1007,864,886,957,794,790,774,1235,1134
ENSG00000011132,420,259,209,233,348,346,388,517,521
ENSG00000011143,230,197,186,224,166,203,213,271,296
ENSG00000011198,691,558,482,531,703,617,691,776,800
ENSG00000011201,7,20,8,20,2,8,7,3,3
ENSG00000011243,1316,888,863,1107,1431,1198,1425,1478,1369
ENSG00000011258,451,487,372,526,567,463,572,588,572
ENSG00000011260,1530,659,728,854,1825,1541,1797,1765,2060
ENSG00000011275,1383,887,880,1040,835,684,787,1454,1444
ENSG00000011295,1630,1344,1361,1601,1001,922,970,1850,1934
ENSG00000011304,6359,4351,4377,4953,5627,5107,5776,6228,5410
ENSG00000011332,60,56,72,80,73,65,100,60,38
ENSG00000011347,231,596,588,727,383,356,378,268,264
ENSG00000011376,312,452,409,560,381,342,322,316,327
