count_sd,aligner,min_phred,min_length,trim_poly_g,trim_poly_x
3020.6749497614355,HISAT2,24,49,1,0
3028.449363240177,HISAT2,25,31,1,0
3028.470597775819,HISAT2,25,33,1,1
3027.762854755467,HISAT2,25,37,0,0
3016.9576723159726,HISAT2,25,46,1,1
3016.9576723159726,HISAT2,25,48,1,1
3028.069365121596,HISAT2,26,34,0,0
3027.101844411008,HISAT2,26,39,0,1
3027.2644310046776,HISAT2,26,39,1,0
3025.213588211514,HISAT2,26,41,1,0
3024.891876344326,HISAT2,26,42,1,0
3020.214518412374,HISAT2,26,43,0,1
3023.9336254725918,HISAT2,26,43,1,0
3019.720213020708,HISAT2,26,44,1,1
3021.015366931686,HISAT2,26,46,0,0
3016.9576723159726,HISAT2,26,46,0,1
3020.6749497614355,HISAT2,26,46,1,0
3016.9576723159726,HISAT2,26,47,0,1
3021.015366931686,HISAT2,26,48,0,0
3016.9576723159726,HISAT2,26,50,0,1
3028.5036584844866,HISAT2,27,30,1,1
3028.434977552781,HISAT2,27,32,0,0
3027.7483116433305,HISAT2,27,36,0,1
3027.7478564169505,HISAT2,27,36,1,1
3027.762854755467,HISAT2,27,37,0,0
2859.1737486203756,HISAT2,27,38,0,0
3027.260920267741,HISAT2,27,39,0,0
3022.9926102003337,HISAT2,27,41,1,1
3025.232561644036,HISAT2,27,42,0,0
3021.2220561068975,HISAT2,27,42,0,1
3024.891876344326,HISAT2,27,42,1,0
3024.27419324315,HISAT2,27,43,0,0
3020.214518412374,HISAT2,27,43,1,1
3021.015366931686,HISAT2,27,49,0,0
3019.4236647673692,HISAT2,28,33,0,1
3019.423139265628,HISAT2,28,33,1,1
3019.0372214337235,HISAT2,28,34,1,1
3018.7274683356577,HISAT2,28,37,1,0
3018.41323050667,HISAT2,28,38,1,0
3018.119597322873,HISAT2,28,40,1,0
3017.4578637905893,HISAT2,28,40,1,1
3010.713451711651,HISAT2,28,44,1,1
3007.9634390905053,HISAT2,28,48,1,1
3007.9634390905053,HISAT2,28,50,1,1
3019.4236647673692,HISAT2,29,33,0,1
3018.7274683356577,HISAT2,29,37,1,0
3018.41323050667,HISAT2,29,38,1,0
3018.149073396213,HISAT2,29,40,0,0
3014.755515844166,HISAT2,29,44,0,0
3011.6640213506935,HISAT2,29,47,1,0
3012.002922884635,HISAT2,29,50,0,0
3011.6640213506935,HISAT2,29,50,1,0
3019.391204856452,HISAT2,30,31,0,0
3018.675530119667,HISAT2,30,37,0,1
3018.7274683356577,HISAT2,30,37,1,0
3018.219646654125,HISAT2,30,39,0,0
3016.520118074528,HISAT2,30,41,0,0
3013.9696132859276,HISAT2,30,41,1,1
3014.9077202091016,HISAT2,30,43,1,0
3014.755515844166,HISAT2,30,44,0,0
3007.9634390905053,HISAT2,30,47,0,1
