p_value_sd,effect_size_sd,aligner,min_phred,min_length,trim_poly_g,trim_poly_x,norm_method
0.21749668843523637,0.566622835371422,STAR,23,35,0,1,TMMwsp
0.21761227581249357,0.5658092038825695,STAR,23,39,1,1,TMM
0.21765847046185693,0.567159454916182,STAR,23,40,0,0,RLE
0.21765201004850288,0.5654671664240637,STAR,24,34,0,1,RLE
0.21766983870401088,0.5675769413889515,STAR,24,38,0,0,TMM
0.21756172122566292,0.5679913432879203,STAR,24,40,0,0,upperquartile
0.21764362168409096,0.5670960817155485,STAR,24,41,1,0,RLE
0.2175522456833472,0.5676038650831856,STAR,24,45,1,1,upperquartile
0.21760671843880947,0.5667460574425913,STAR,24,48,1,1,RLE
0.2176968614252295,0.5676216046363739,STAR,24,49,1,0,TMM
0.21766667377244434,0.5675558285289142,STAR,25,31,1,0,TMM
0.21749823111763394,0.566629007018032,STAR,25,33,1,1,TMMwsp
0.21744649917307876,0.5645394197541268,STAR,25,37,0,0,none
0.21755750978211583,0.5678127806683958,STAR,25,46,1,1,upperquartile
0.2176416363942906,0.567387679843272,STAR,25,48,1,1,TMM
0.21767433989709,0.567559327284557,STAR,26,34,0,0,TMM
0.2176115199712249,0.5658106020182411,STAR,26,39,0,1,TMM
0.21769611091886631,0.5654939905231329,STAR,26,39,1,0,RLE
0.21753308439359928,0.5667274761734615,STAR,26,41,1,0,TMMwsp
0.2175557128725111,0.5678451461710281,STAR,26,42,1,0,upperquartile
0.21764425650689417,0.5674937783953282,STAR,26,43,0,1,TMM
0.21768572707396014,0.567710313770056,STAR,26,43,1,0,TMM
0.21766213913704122,0.5675565934230794,STAR,26,44,1,1,TMM
0.21762170639286038,0.5681510765993533,STAR,26,46,0,0,upperquartile
0.21737199003284444,0.5643280462372284,STAR,26,46,0,1,none
0.21744363801420746,0.5644603148851557,STAR,26,46,1,0,none
0.21760671843880947,0.5667460574425913,STAR,26,47,0,1,RLE
0.21762170639286038,0.5681510765993533,STAR,26,48,0,0,upperquartile
0.2176416363942906,0.567387679843272,STAR,26,50,0,1,TMM
0.21741867649497695,0.5645163444620719,STAR,27,30,1,1,none
0.21756064766763739,0.5679543306971818,STAR,27,32,0,0,upperquartile
0.21760819632824363,0.5670818258727973,STAR,27,36,0,1,RLE
0.21760818538975357,0.5670787981787149,STAR,27,36,1,1,RLE
0.21744649917307876,0.5645394197541268,STAR,27,37,0,0,none
0.21754078800899534,0.5667918617211384,STAR,27,38,0,0,TMMwsp
0.21754140659839516,0.5667824305021284,STAR,27,39,0,0,TMMwsp
0.21747538293977348,0.5678140982911809,STAR,27,41,1,1,upperquartile
0.21756573636023993,0.567848272451176,STAR,27,42,0,0,upperquartile
0.21758647168291728,0.5670175076037481,STAR,27,42,0,1,RLE
0.2175557128725111,0.5678451461710281,STAR,27,42,1,0,upperquartile
0.21767762013025968,0.5670892168624241,STAR,27,43,0,0,RLE
0.21764425650689417,0.5674937783953282,STAR,27,43,1,1,TMM
0.21771075338907128,0.5676412612731306,STAR,27,49,0,0,TMM
0.21742666714831127,0.5647891159602726,STAR,28,33,0,1,none
0.21765615535878782,0.567877052909541,STAR,28,33,1,1,TMM
0.21753382134452406,0.5682238938572974,STAR,28,34,1,1,upperquartile
0.21760576529911385,0.568411096519738,STAR,28,37,1,0,upperquartile
0.2176907182345724,0.5674356080737626,STAR,28,38,1,0,RLE
0.2174861503459094,0.5648848340569314,STAR,28,40,1,0,none
0.2176161273199006,0.5672274136305605,STAR,28,40,1,1,RLE
0.21773454355362137,0.566283214978153,STAR,28,44,1,1,TMM
0.21770571262285293,0.5661522499285113,STAR,28,48,1,1,TMM
0.21761437763679387,0.5657397114639477,STAR,28,50,1,1,TMMwsp
0.21753546020220185,0.5682170992003747,STAR,29,33,0,1,upperquartile
0.21760576529911385,0.568411096519738,STAR,29,37,1,0,upperquartile
0.21760171674693157,0.567453439402448,STAR,29,38,1,0,TMMwsp
0.21769419430995388,0.5674865941645068,STAR,29,40,0,0,RLE
0.2176272801605205,0.5683808659039259,STAR,29,44,0,0,upperquartile
0.2174557399965003,0.5648013952070936,STAR,29,47,1,0,none
0.217701542182737,0.5673287989088497,STAR,29,50,0,0,RLE
0.2174557399965003,0.5648013952070936,STAR,29,50,1,0,none
0.21747193420471372,0.5648671252152938,STAR,30,31,0,0,none
