gene_id,counts,sample,quality,length,geneFlag,xFlag,jobFlag
ENSG00000274944,286,SRR31476643,22,35,0,0,19023445
ENSG00000272078,33,SRR31476643,22,35,0,0,19023445
ENSG00000230451,0,SRR31476643,22,35,0,0,19023445
ENSG00000231606,0,SRR31476643,22,35,0,0,19023445
ENSG00000215900,1,SRR31476643,22,35,0,0,19023445
ENSG00000284632,0,SRR31476643,22,35,0,0,19023445
ENSG00000241014,7,SRR31476643,22,35,0,0,19023445
ENSG00000054118,2789,SRR31476643,22,35,0,0,19023445
ENSG00000254553,136,SRR31476643,22,35,0,0,19023445
ENSG00000284653,0,SRR31476643,22,35,0,0,19023445
ENSG00000237749,1513,SRR31476643,22,35,0,0,19023445
ENSG00000276747,0,SRR31476643,22,35,0,0,19023445
ENSG00000284705,0,SRR31476643,22,35,0,0,19023445
ENSG00000228776,0,SRR31476643,22,35,0,0,19023445
ENSG00000159339,0,SRR31476643,22,35,0,0,19023445
ENSG00000261781,0,SRR31476643,22,35,0,0,19023445
ENSG00000284743,0,SRR31476643,22,35,0,0,19023445
ENSG00000158315,21,SRR31476643,22,35,0,0,19023445
ENSG00000186973,0,SRR31476643,22,35,0,0,19023445
ENSG00000146463,1851,SRR31476643,22,35,0,0,19023445
ENSG00000271741,653,SRR31476643,22,35,0,0,19023445
ENSG00000142686,169,SRR31476643,22,35,0,0,19023445
ENSG00000224751,56,SRR31476643,22,35,0,0,19023445
ENSG00000117148,13,SRR31476643,22,35,0,0,19023445
ENSG00000230585,1,SRR31476643,22,35,0,0,19023445
ENSG00000117000,714,SRR31476643,22,35,0,0,19023445
ENSG00000284989,922,SRR31476643,22,35,0,0,19023445
ENSG00000231630,0,SRR31476643,22,35,0,0,19023445
ENSG00000092853,403,SRR31476643,22,35,0,0,19023445
ENSG00000255811,0,SRR31476643,22,35,0,0,19023445
ENSG00000134697,2148,SRR31476643,22,35,0,0,19023445
ENSG00000187513,5,SRR31476643,22,35,0,0,19023445
ENSG00000225142,20,SRR31476643,22,35,0,0,19023445
ENSG00000230138,0,SRR31476643,22,35,0,0,19023445
ENSG00000223390,35,SRR31476643,22,35,0,0,19023445
ENSG00000284720,0,SRR31476643,22,35,0,0,19023445
ENSG00000225671,5,SRR31476643,22,35,0,0,19023445
ENSG00000116151,62,SRR31476643,22,35,0,0,19023445
ENSG00000006555,105,SRR31476643,22,35,0,0,19023445
